USPS,GEOID,NAME,LAT,LNG,POPULATION,NAMEANDPOPULATION
GA,13229,Pierce County,31.353988,-82.210427,9281,"Pierce County, 9281"
GA,13231,Pike County,33.090768,-84.386627,7316,"Pike County, 7316"
GA,13233,Polk County,33.996015,-85.188338,29656,"Polk County, 29656"
GA,13235,Pulaski County,32.238794,-83.481855,8066,"Pulaski County, 8066"
GA,13237,Putnam County,33.32106,-83.37179,8394,"Putnam County, 8394"
GA,13239,Quitman County,31.862948,-85.004801,2180,"Quitman County, 2180"
GA,13241,Rabun County,34.883949,-83.404859,8327,"Rabun County, 8327"
GA,13243,Randolph County,31.762651,-84.752311,8734,"Randolph County, 8734"
GA,13245,Richmond County,33.361487,-82.074998,162437,"Richmond County, 162437"
GA,13247,Rockdale County,33.652081,-84.02637,18152,"Rockdale County, 18152"
GA,13249,Schley County,32.263441,-84.322724,3097,"Schley County, 3097"
GA,13251,Screven County,32.744751,-81.617585,12591,"Screven County, 12591"
GA,13253,Seminole County,30.933894,-84.867592,7059,"Seminole County, 7059"
GA,13255,Spalding County,33.262389,-84.286067,39514,"Spalding County, 39514"
GA,13257,Stephens County,34.552914,-83.290216,20331,"Stephens County, 20331"
GA,13259,Stewart County,32.073225,-84.834912,6511,"Stewart County, 6511"
GA,13261,Sumter County,32.042198,-84.20426,26931,"Sumter County, 26931"
GA,13263,Talbot County,32.704603,-84.530029,6625,"Talbot County, 6625"
GA,13265,Taliaferro County,33.559319,-82.875272,2423,"Taliaferro County, 2423"
GA,13267,Tattnall County,32.043768,-82.059208,16557,"Tattnall County, 16557"
GA,13269,Taylor County,32.554667,-84.251426,7865,"Taylor County, 7865"
GA,13271,Telfair County,31.913639,-82.931062,11394,"Telfair County, 11394"
GA,13273,Terrell County,31.777191,-84.439446,11416,"Terrell County, 11416"
GA,13275,Thomas County,30.864606,-83.91982,34562,"Thomas County, 34562"
GA,13277,Tift County,31.457003,-83.525931,27288,"Tift County, 27288"
GA,13279,Toombs County,32.126698,-82.332071,19151,"Toombs County, 19151"
GA,13281,Towns County,34.902529,-83.732264,4565,"Towns County, 4565"
GA,13283,Treutlen County,32.409586,-82.570882,5647,"Treutlen County, 5647"
GA,13285,Troup County,33.034482,-85.02836,44466,"Troup County, 44466"
GA,13287,Turner County,31.7248,-83.620319,8790,"Turner County, 8790"
GA,13289,Twiggs County,32.665847,-83.425879,8222,"Twiggs County, 8222"
GA,13291,Union County,34.833333,-83.989257,6811,"Union County, 6811"
GA,13293,Upson County,32.881837,-84.292281,23505,"Upson County, 23505"
GA,13295,Walker County,34.735827,-85.305385,50691,"Walker County, 50691"
